date	predicted_value	true_value
Fri Apr 10 15:50:09 2026	background	background
Fri Apr 10 15:50:14 2026	fire	chainsaw
Fri Apr 10 15:50:20 2026	background	chainsaw
Fri Apr 10 15:50:26 2026	fireworks	chainsaw
Fri Apr 10 15:50:32 2026	background	fireworks
Fri Apr 10 15:50:38 2026	background	unknown
Fri Apr 10 15:50:44 2026	fireworks	fireworks
Fri Apr 10 15:51:46 2026	fireworks	chainsaw
Fri Apr 10 15:51:57 2026	background	chainsaw
